Success Index,Ticker,Name,Longevity of Project,Country,Type,Platform,Market Cap,Price,Volume 24hr,Pct 1h,Pct 24h,Pct 7d,Coin Mkt Cap Rating,ICO Watch Rating,Trading Status,Pre Ico Start,Pre Ico End Date,Pre ICO Duration,ICO Start,ICO End,ICO Duration,Sentiment Compound,Sentiment negative,Sentiment neutral,Sentiment positive,# of Media Post
99.00282,ALC, ALLCOIN,20.0,,ICO,,0,0.00045999999999999996,0,0.0,0.0,0.0,2358.0,4.8,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-06-15 00:00:00,2018-08-31 00:00:00,118,0.8381647059999999,0.127294118,0.032411765,0.840470588,17.0
99.274704,PLAT, BitGuild PLAT,76.0,Cayman Islands,ICO,Ethereum,25741,0.000784,0,0.0,0.0,-65.2,1753.0,3.5,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-03-16 00:33:33,2018-04-06 06:59:59,92,0.9509,0.059000000000000004,0.049,0.892,1.0
98.85329,BTM, Bytom,92.0,China,ICO,,120996522,0.279289,122140708,-1.1,-3.2,2.14,48.0,4.1,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-28 03:00:00,2017-09-28 03:00:00,46,0.538654902,0.062862745,0.040764706,0.896411765,51.0
99.39631,EDN, Eden,139.0,Virgin Islands (British),ICO,Ethereum,1153784,1.6e-05,188113,-1.13,-8.91,-9.87,851.0,4.6,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-05-24 00:00:00,2018-05-25 00:00:00,211,0.547588889,0.073222222,0.025888888999999998,0.900666667,9.0
99.93785,SCT, Soma,139.0,Finland,ICO,Ethereum,171449,0.000221,20214,0.09,-1.82,-7.99,1356.0,4.3,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-27 12:00:00,2017-11-14 12:00:00,90,0.7603,0.02,0.005,0.9740000000000001,1.0
97.25441,HKN, Hacken,147.0,Russia,ICO,Ethereum,558260,0.001818,314,-37.25,-69.5,-3.91,1039.0,4.6,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-10-31 12:00:00,2017-11-30 12:00:00,65,0.2263,0.006,0.0,0.9940000000000001,1.0
97.828995,TSR, Tesra,154.0,Switzerland,ICO,Ethereum,0,0.001088,424036,0.09,-2.54,-4.08,2085.0,4.3,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-03-05 00:00:00,2018-05-28 00:00:00,14,0.501907,0.07946,0.034260000000000006,0.88633,100.0
99.34031,DAX, DAEX,155.0,,ICO,Ethereum,1224336,0.008369,13863965,1.13,3.5,5.8,834.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-09-09 00:00:00,2018-09-15 00:00:00,10,-0.6486,0.026000000000000002,0.9620000000000001,0.011000000000000001,1.0
99.955765,STC, StarChain,169.0,,ICO,Ethereum,0,1.02,1972607,1.91,-15.95,-13.21,2059.0,4.8,Closed,2018-01-22 08:00:00,2018-03-31 08:00:00,68,2018-06-17 08:00:00,2018-07-17 08:00:00,150,0.600258,0.0917,0.042769999999999996,0.86554,100.0
99.939,BEZ, Bezop,178.0,,ICO,Ethereum,285662,0.000608,10465,-0.16,-2.62,-20.19,1230.0,4.4,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-20 00:00:00,2018-01-10 00:00:00,389,0.26408899999999996,0.05583,0.8528399999999999,0.09131,100.0
99.45483,DEV, DeviantCoin,188.0,Thailand,ICO,Ethereum,161166,0.0048460000000000005,125910,-0.06,16.83,13.57,1373.0,4.3,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-02-16 00:00:00,2018-03-30 23:59:59,42,0.15175,0.0055,0.9855,0.009000000000000001,2.0
99.84339,CLN, Colu Local Ne...,215.0,Gibraltar,ICO,Ethereum,1373986,0.00010700000000000001,1611,-0.1,-4.2,-4.74,801.0,4.3,Closed,2017-11-02 00:00:00,2018-01-17 00:00:00,76,2018-02-14 00:00:00,2018-02-18 00:00:00,90,-0.0664,0.0135,0.017,0.9695,2.0
99.915924,EC, Echoin,220.0,,ICO,,0,0.00139,5047109,-0.19,-19.28,-27.04,2042.0,2.6,Closed,2018-07-01 00:00:00,2018-07-31 00:00:00,30,2017-09-28 03:00:00,2017-09-28 03:00:00,90,0.620784091,0.10335227300000001,0.049943182,0.846704545,88.0
100.0,AZ, Azbit,222.0,Switzerland,ICO,Ethereum,1154256,0.00042300000000000004,3888,-1.25,-2.72,-10.15,850.0,4.6,Closed,2018-10-01 00:00:00,2018-11-30 00:00:00,60,2018-12-01 00:00:00,2019-06-30 00:00:00,59,0.127433333,0.015,0.013000000000000001,0.972,3.0
99.39955,VERI, Veritaseum,230.0,United States of America,ICO,Ethereum,73853427,0.200478,896373,-0.06,1.0,-1.37,213.0,4.1,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-28 03:00:00,2017-09-28 03:00:00,43,0.733514,0.12577,0.04674,0.8274600000000001,100.0
99.58473,ELEC, Electrify.Asia,230.0,Singapore,ICO,Ethereum,491880,0.006567,21618,1.18,3.12,-10.99,1085.0,4.1,Trading,2018-01-15 00:00:00,2018-02-15 23:59:59,31,2018-02-23 00:00:00,2018-03-01 23:59:59,89,0.3775,0.0625,0.00475,0.9329999999999999,4.0
98.06122,FLASH, Flash,237.0,Liechtenstein,ICO,,5406679,0.0008089999999999999,376062,-0.31,0.79,-2.6,437.0,4.4,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2016-11-27 00:00:00,2016-12-23 00:00:00,35,0.578818,0.03027,0.8849600000000001,0.0848,100.0
99.47943,SAN, Santiment Net...,243.0,Switzerland,ICO,Ethereum,21465139,0.054890999999999995,535430,2.23,-1.71,-11.21,248.0,2.6,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-07-04 15:00:00,2017-08-04 23:59:59,181,-0.177866667,0.006333333000000001,0.011333333000000001,0.9823333329999999,3.0
99.19135,ENT, Eternity,249.0,Australia,ICO,Ethereum,9743,0.001756,0,0.0,-0.22,-2.06,1874.0,3.3,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-11-02 00:00:00,2017-12-07 00:00:00,13,0.5766,0.013999999999999999,0.005,0.981,1.0
99.08695,ABS, Absolute,274.0,Taiwan,ICO,Ethereum,30157,9e-06,58,-0.87,-19.99,-18.16,1723.0,5.0,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-07-14 00:00:00,2017-08-04 23:59:59,158,-0.20565555600000002,0.094,0.091555556,0.814555556,9.0
95.97608,ARAW, ARAW,279.0,United Kingdom,ICO,Ethereum,30733,0.004594,10195,1.63,1.61,6.76,1722.0,5.0,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-09-10 00:00:00,2019-02-15 23:59:00,27,0.5562357139999999,0.112214286,0.041714286,0.8460714290000001,70.0
86.07656,BITS, Bitstar,289.0,Kenya,ICO,Ethereum,138963,0.0008439999999999999,332,7.89,14.36,-22.22,1407.0,3.5,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-01 00:00:00,2018-05-01 00:00:00,61,-0.6908,0.006999999999999999,0.02,0.973,1.0
99.99397,EMT, Emanate,290.0,Poland,ICO,Ethereum,0,0.000394,2855,0.23,16.02,17.64,2233.0,4.6,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-08-24 17:00:00,2017-09-27 17:00:00,15,0.791758,0.10011,0.03418,0.86574,100.0
99.988914,APH, Aphelion,312.0,,ICO,NEO,123342,0.003952000000000001,0,-0.12,-37.79,-25.24,1430.0,4.1,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-11-15 00:00:00,2017-12-07 00:00:00,19,0.9034,0.034,0.027999999999999997,0.938,1.0
99.89636,HIT, HitChain,320.0,Russia,ICO,Ethereum,0,0.24185900000000002,96958,-0.31,-0.65,11.21,2133.0,4.1,Unknown,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-28 03:00:00,2017-09-28 03:00:00,121,0.87525,0.1336,0.0518,0.8147,10.0
99.448105,BLN, Bolenum,321.0,Nigeria,ICO,Ethereum,4809,0.003979,29,-0.1,134.75,0.3,1953.0,4.6,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-07-15 00:00:00,2017-08-14 23:59:59,27,0.86734,0.0908,0.03,0.8794,5.0
99.820045,HBZ, HBZ coin,326.0,Singapore,ICO,Ethereum,2451916,0.379011,158636,-1.23,-4.31,-41.52,651.0,4.4,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-01-26 12:00:00,2018-03-04 12:00:00,115,0.321625,0.019,0.06725,0.91375,4.0
98.735054,NGC, NAGA,329.0,Germany,ICO,Ethereum,1591749,0.039678,2746,-4.3,-7.03,-19.37,762.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-01 00:00:00,2017-12-15 23:59:59,21,0.0,0.0,0.0,0.0,0.0
99.934006,HPC, Happycoin,336.0,,ICO,,1306157,0.001911,265891,-0.2,-3.83,37.62,818.0,4.6,Unknown,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-28 03:00:00,2017-09-28 03:00:00,14,-0.514595652,0.06026087,0.891826087,0.047913042999999995,23.0
94.37492,GNX, Genaro Network,339.0,Singapore,ICO,Ethereum,3115806,0.002868,35620,-0.08,-5.27,-1.14,579.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-11-17 00:00:00,2017-12-08 18:16:05,88,0.706183333,0.093333333,0.038666667,0.867833333,6.0
98.30831,BBK, Brickblock,341.0,Germany,ICO,Ethereum,2169025,0.004151,344,-1.5,8.69,-15.71,683.0,4.6,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2018-05-09 13:00:00,2018-05-16 13:00:00,30,-0.28555,0.006999999999999999,0.0115,0.981,2.0
98.77756,DTX, DaTa eXchange,351.0,Belgium,ICO,Ethereum,1848845,0.003914,134354,-3.67,-6.31,-4.52,727.0,4.8,Closed,2018-03-19 15:00:00,2018-04-25 15:00:00,37,2018-04-26 15:00:00,2018-06-30 15:00:00,29,0.062768571,0.075114286,0.8241714290000001,0.100714286,35.0
99.73866,CVC, Civic,351.0,United States of America,ICO,Ethereum,27128753,0.044614999999999995,14432647,0.25,5.62,7.18,137.0,4.6,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-06-21 16:00:00,2017-06-28 16:00:00,61,0.582416667,0.0835,0.04,0.8763333329999999,6.0
99.81166,STQ, Storiqa,351.0,Hong Kong,ICO,Ethereum,261202,0.0069819999999999995,1086,-0.11,-9.02,-28.83,1252.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-05 00:00:00,2018-02-13 23:00:00,46,0.501907,0.07946,0.034260000000000006,0.88633,100.0
99.25316,B2B, B2BX,353.0,Russia,ICO,Ethereum,11291589,0.0008060000000000001,414,0.04,-6.38,-3.64,292.0,5.0,Trading,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-09-13 12:00:00,2017-09-29 12:00:00,7,-0.016261111,0.027611111,0.9066111109999999,0.065666667,18.0
98.51767,CAR, CarBlock,358.0,Belize,ICO,Ethereum,0,0.000379,38378,-0.06,1.61,-8.77,2157.0,4.4,Closed,2017-09-28 03:00:00,2017-09-28 03:00:00,0,2017-12-10 13:00:00,2018-01-10 13:00:00,25,0.0,0.0,0.0,0.0,0.0
